model,dataset,scoring,P1_best,P2_best,cv_acc,val_acc
SVC,student,accuracy,100,linear,0.86,0.96
KNeighborsClassifier,student,accuracy,10,uniform,0.54,0.57
RandomForestClassifier,student,accuracy,None,30,0.96,0.98
MLPClassifier,student,accuracy,relu,0.001,0.63,0.65
SVC,contraceptive,accuracy,1000,rbf,0.54,0.51
KNeighborsClassifier,contraceptive,accuracy,3,uniform,0.48,0.42
RandomForestClassifier,contraceptive,accuracy,3,30,0.55,0.47
MLPClassifier,contraceptive,accuracy,relu,1e-06,0.51,0.53
SVC,autism,accuracy,1,linear,1.00,1.00
KNeighborsClassifier,autism,accuracy,3,distance,0.97,0.95
RandomForestClassifier,autism,accuracy,None,30,1.00,1.00
MLPClassifier,autism,accuracy,relu,0.001,0.96,0.98
SVC,bankruptcy,accuracy,10,rbf,0.99,1.00
KNeighborsClassifier,bankruptcy,accuracy,1,uniform,0.97,0.96
RandomForestClassifier,bankruptcy,accuracy,None,50,1.00,1.00
MLPClassifier,bankruptcy,accuracy,relu,1e-06,0.85,0.91
SVC,breast_cancer,accuracy,1,linear,0.97,0.94
KNeighborsClassifier,breast_cancer,accuracy,10,distance,0.97,0.94
RandomForestClassifier,breast_cancer,accuracy,3,10,0.97,0.95
MLPClassifier,breast_cancer,accuracy,logistic,0.001,0.97,0.94
SVC,horse,accuracy,1000,poly,0.85,0.87
KNeighborsClassifier,horse,accuracy,30,distance,0.86,0.84
RandomForestClassifier,horse,accuracy,None,10,0.85,0.83
MLPClassifier,horse,accuracy,logistic,1e-06,0.83,0.87
SVC,hr,accuracy,1000,rbf,0.97,0.96
KNeighborsClassifier,hr,accuracy,1,uniform,0.95,0.94
RandomForestClassifier,hr,accuracy,None,30,0.99,0.99
MLPClassifier,hr,accuracy,relu,1e-06,0.97,0.97
SVC,english,accuracy,1000,rbf,0.57,0.50
KNeighborsClassifier,english,accuracy,3,distance,0.58,0.63
RandomForestClassifier,english,accuracy,None,50,0.58,0.67
MLPClassifier,english,accuracy,identity,0.001,0.51,0.50
SVC,phishing,accuracy,100,rbf,0.89,0.86
KNeighborsClassifier,phishing,accuracy,3,distance,0.88,0.85
RandomForestClassifier,phishing,accuracy,None,50,0.90,0.88
MLPClassifier,phishing,accuracy,relu,0.001,0.87,0.83
SVC,wine,accuracy,1000,rbf,0.55,0.52
KNeighborsClassifier,wine,accuracy,30,distance,0.65,0.65
RandomForestClassifier,wine,accuracy,None,50,0.66,0.64
MLPClassifier,wine,accuracy,relu,1e-06,0.55,0.52
SVC,congress,accuracy,1,linear,0.97,0.94
KNeighborsClassifier,congress,accuracy,1,uniform,0.76,0.82
RandomForestClassifier,congress,accuracy,None,30,0.97,0.95
MLPClassifier,congress,accuracy,logistic,1e-05,0.95,0.94
